03:51:14.553 [main] INFO  resources.base - User Have reached the order confirmation page after placing the order
03:53:03.083 [main] INFO  resources.base - User has clicked the Logo from the header of the page
03:53:13.141 [main] INFO  resources.base - User Have reached the Home Page clicking on the Header Logo
03:53:18.672 [main] INFO  resources.base - User has clicked the Logo from the footer of the page
03:53:18.688 [main] INFO  resources.base - User Have reached the Home Page clicking on the footer Logo
03:53:25.353 [main] INFO  resources.base - User has clicked on the Standard Catalog Link from the footer of the page
03:53:35.375 [main] INFO  resources.base - User Have reached the Standard Product page after clicking on the Standard Catalog Link from the footer of the page
03:53:39.303 [main] INFO  resources.base - User has clicked on the All product Link from the footer of the page
03:53:49.336 [main] INFO  resources.base - User Have reached the All Product page after clicking on the Standard Catalog Link from the footer of the page
03:53:58.251 [main] INFO  resources.base - User has clicked on the resources  Link from the footer of the page
03:54:13.288 [main] INFO  resources.base - User Have reached the resources page after clicking on the resources Link from the footer of the page
03:54:23.652 [main] INFO  resources.base - User has clicked on the Special offer Link from the footer of the page
03:54:33.733 [main] INFO  resources.base - User Have reached the Special offer after clicking on the Special offer Link from the footer of the page
03:54:38.282 [main] INFO  resources.base - User has clicked on the Special offer Link from the footer of the page
03:54:48.359 [main] INFO  resources.base - User Have reached the Favorites after clicking on the Favorites Link from the footer of the page
03:55:04.203 [main] INFO  resources.base - User has clicked on the Track button from the header of the page
03:55:04.215 [main] INFO  resources.base - User have reached the Track page after clicking on the Track button from the header of the page
03:55:13.466 [main] INFO  resources.base - User has clicked on the order button from the header of the page
03:55:23.534 [main] INFO  resources.base - User have reached the Order page after clicking on the Order button from the header of the page
03:55:46.256 [main] INFO  resources.base - User has clicked on the Purchase Analysis button from the header of the page
03:55:46.501 [main] INFO  resources.base - User have reached the Purchase Analysis page after clicking on the Purchase Analysis button from the header of the page
03:55:46.708 [main] INFO  resources.base - User have clicked on email icon on purchase analysis Page
03:55:46.994 [main] INFO  resources.base - User have entered the email on email field at purchase analysis Page
03:55:47.284 [main] INFO  resources.base - User have click on Send button at email popup screen at purchase analysis Page
03:55:54.041 [main] INFO  resources.base - User has clicked on the Calendar button from the header of the page
03:55:54.063 [main] INFO  resources.base - User have reached the  Calendar page after clicking on the Calendar button from the header of the page
03:56:10.690 [main] INFO  resources.base - User have reached the expiration report after clicking on the report button from the Calendar page from monthly view tab
03:56:30.237 [main] INFO  resources.base - User have reached the expiration report after clicking on the report button from the Calendar page from Detail view tab
03:56:35.675 [main] INFO  resources.base - User has clicked on the Saved Report icon from the header of the page
03:56:35.700 [main] INFO  resources.base - User have reached the  Saved Report page after clicking on the Saved Report icon from the header of the page
03:56:43.562 [main] INFO  resources.base - user is searching printer using the search textbox
03:57:11.175 [main] INFO  resources.base - User Have Successfully reached the Compare page
